Sector,Climate And Business Need,Solutions,Market Maturity,Market Maturity Number,Business Model,Type,SeedYN,GrantYN,SeriesX,Total Non-Equity Funding,Total Funding Amount (in USD),Total Equity Funding Amount (in USD),Funding Rank,Series Rank,Seed Rank,Scale Rank
Mobility,Charging Networks And Management,Vehicle to Grid (V2G) and Bidirectional Charging,Early Market,13,HW/SW,Hybrid,1,1,4,40850000,199771065,158921065,6,4,1,3
Mobility,Charging Networks And Management,"Charger Installation, Operations and Maintenance",Early Market,13,Service,Mitigation,0,0,2,0,99025000,99025000,5,2,1,2
Mobility,Charging Networks And Management,Wireless and Road Charging,Early Market,13,Hardware,Mitigation,2,0,2,312140,63510349,63198209,4,2,2,2
Mobility,Charging Networks And Management,Robotic EV Chargers,Commercial,8,HW/SW,Mitigation,1,1,2,33000000,345270816,312270816,7,2,1,3
Mobility,Charging Networks And Management,Micro-mobility Charging,Early Market,13,HW/SW,Mitigation,3,1,3,48899251,540051027,491151776,9,3,3,4
Mobility,Public Transit,EV Buses,Mature Market,34,Hardware,Mitigation,1,0,2,18997855,58497855,39500000,4,2,1,2
Mobility,Public Transit,Electric School Buses,Market Scale,21,Hardware,Mitigation,0,1,1,58579482,520479476,344999994,8,1,1,3
Mobility,Public Transit,"Transit Planning, Management and Fare Collection",Market Scale,21,Software,Hybrid,1,1,9,24532436,618422970,593890534,9,7,1,5
Mobility,Public Transit,Mode-Shifting Behavior Change,Market Scale,21,Software,Hybrid,2,0,1,13500000,205691252,192191252,6,1,2,2
Mobility,Public Transit,Traffic and Curb Management and Analytics,Early Market,13,HW/SW,Hybrid,3,1,7,152195815,630102248,477386433,9,6,3,5
Mobility,Public Transit,"Tolling, Road Usage and Congestion Pricing",Early Market,13,HW/SW,Hybrid,1,0,2,0,16450000,16450000,2,2,1,1
Mobility,Public Transit,Controlled Route Autonomous Transit,Commercial,8,HW/SW,Mitigation,0,0,3,1812785,247290424,245477639,7,3,1,3
Mobility,Aviation,Electric / Hybrid Airplanes and Propulsion,Commercial,8,Hardware,Mitigation,4,3,7,181988962,1385261750,1203272788,10,6,4,5
Mobility,Aviation,eVTOL Aircraft,Early Market,13,Hardware,Mitigation,2,1,3,81868,2335166498,2335084630,10,3,2,4
Mobility,Aviation,Hydrogen / Hybrid Aircraft,Commercial,8,Hardware,Mitigation,1,1,2,20250000,371400000,351150000,8,2,1,3
Mobility,Aviation,Hypersonic and Supersonic Aircraft,Pilot,3,Hardware,Mitigation,1,1,2,149155920,441647204,292491284,8,2,1,3
Mobility,Aviation,Airships,Pilot,3,Hardware,Mitigation,2,0,3,2585791,205459700,202873909,6,3,2,3
Mobility,Aviation,Electric Ground Support and Battery Charging for Aircraft,Early Market,13,Hardware,Mitigation,1,0,1,52287901,96344542,44056641,5,1,1,2
Mobility,Aviation,Autonomous Cargo Aircraft,Pilot,3,Software,Mitigation,0,0,4,0,340507537,340507537,7,4,1,4
Mobility,Aviation,Coastal Aircraft,Early Market,13,Hardware,Mitigation,1,0,0,0,87000000,87000000,5,1,1,2
Mobility,Aviation,Drone Delivery,Early Market,13,Software,Mitigation,2,2,4,63384125,355956284,292572159,8,4,2,4
Mobility,Aviation,"Aviation Efficiency, Emissions Control and Contrail Reduction",Early Market,13,Software,Mitigation,5,2,0,3894388,23292369,19365825,2,1,5,1
Mobility,Trains,High Speed Rail,Market Scale,21,Hardware,Mitigation,0,1,0,0,291648000,75000000,7,1,1,3
Mobility,Trains,Hyperloop,Pilot,3,Hardware,Mitigation,2,2,3,12719435,120598683,107879248,5,3,2,3
Mobility,Trains,Locomotive Electrification,Mature Market,34,Hardware,Mitigation,0,0,2,250000,66337913,66087913,4,2,1,2
Mobility,Trains,"Rail Efficiency, Monitoring and Automation",Market Scale,21,HW/SW,Mitigation,5,0,6,224538,165738574,165334036,6,5,5,4
Mobility,Ships,Electric and Hydrogen Ships and Ferries,Early Market,13,Hardware,Mitigation,3,0,2,0,36728056,36728056,3,2,3,2
Mobility,Ships,Cargo Ship Sails,Commercial,8,Hardware,Mitigation,1,0,1,1664983,50782200,49117217,4,1,1,2
Mobility,Ships,Autonomous Ships and Robotics,Commercial,8,HW/SW,Mitigation,3,1,2,1050000,63066300,62016300,4,2,3,2
Mobility,Ships,Ocean Freight Efficiency and Optimization,Early Market,13,Software,Mitigation,3,0,4,242500,164126020,163883520,6,4,3,3
Mobility,Ships,Electric Recreational Watercraft and Yachts,Early Market,13,Hardware,Mitigation,0,0,6,8074946,519845740,511770794,8,5,1,4
Industry,Plastics,Plant-based Plastics / Biopolymers and Bioplastics,Market Scale,21,Hardware,Mitigation,10,4,11,28023691,183146884,153096372,6,7,6,4
Industry,Plastics,Algae-Based Bioplastics and Soluble / Edible Packaging,Early Market,13,Hardware,Mitigation,5,1,2,5305644,73348510,67867866,4,2,5,2
Industry,Plastics,Advanced Plastic Recycling and Pyrolysis,Market Scale,21,Hardware,Mitigation,2,1,6,519075736,1640918367,721842631,10,5,2,5
Industry,Plastics,Plastic / Polymer and Tire Upcycling,Early Market,13,Hardware,Mitigation,1,1,6,33110679,397941272,364830593,8,5,1,4
Industry,Plastics,"Plastic Depolymerization via Enzymatic, Myco, Green Chemistry ",Early Market,13,Hardware,Mitigation,5,3,2,6863139,102653929,93553466,5,2,5,2
Industry,Chemicals,Synbio and Catalytic Chemicals,Market Scale,21,Hardware,Mitigation,3,1,5,217712363,962486140,744773777,9,5,3,5
Industry,Chemicals,Precision Fermentation for Chemical Production,Early Market,13,Hardware,Mitigation,4,0,2,376158883,487327450,111168567,8,2,4,3
Industry,Chemicals,Biomass-based Green Chemicals,Early Market,13,Hardware,Mitigation,3,2,4,8401037,293410474,284898980,7,4,3,4
Industry,Chemicals,CO2 to Chemicals via Electrocatalysis and Electrolysis,Early Market,13,Hardware,Hybrid,4,2,3,16172149,109931357,93259208,5,3,4,3
Industry,Chemicals,Photocatalytic and Low Temp Plasma (LTP) Chemistry,Early Market,13,Hardware,Mitigation,2,2,1,1666435,120747434,107800000,5,1,2,2
Industry,Chemicals,"Adhesives, Lubricants, Solvents and Sealants",Early Market,13,Hardware,Mitigation,3,1,2,2686472,33133676,27947205,3,2,3,2
Industry,Chemicals,"Green Chemistry Ingredients for Cleaning, Beauty, Personal Care",Early Market,13,Hardware,Mitigation,3,4,11,122764550,297614271,150719660,7,7,3,5
Industry,Steel and Industrial Metals,Electrochemical Low-Temperature Iron (LTI) and Electrolysis,Commercial,8,Hardware,Mitigation,1,0,2,3201034,461357769,458156735,8,2,1,3
Industry,Steel and Industrial Metals,Direct-Reduced Iron (DRI) with Green Hydrogen,Early Market,13,Hardware,Mitigation,0,0,0,8300354676,10915957983,2615603307,10,1,1,4
Industry,Steel and Industrial Metals,Light and Plasma-based Green Steel Production,Pilot,3,Hardware,Mitigation,0,0,0,0,0,0,1,1,1,1
Industry,Steel and Industrial Metals,"Steel Production Efficiency, Circularity and Resiliency",Commercial,8,Software,Mitigation,3,1,1,65000,5920520,5855520,1,1,3,1
Industry,Steel and Industrial Metals,Aluminum Production and Circularity,Commercial,8,Hardware,Mitigation,1,1,0,0,20000000,0,2,1,1,1
Industry,Cement And Concrete,Electrification and Electrochemical Kiln Replacement,Commercial,8,Hardware,Mitigation,0,1,1,0,40000000,40000000,3,1,1,1
Industry,Cement And Concrete,Clinker Replacement and Reduction,Commercial,8,Hardware,Mitigation,1,1,1,271877,17805896,16013524,2,1,1,1
Industry,Cement And Concrete,Supplementary Cementing Materials (SCMs),Market Scale,21,Hardware,Mitigation,1,1,4,0,271827622,271427622,7,4,1,4
Industry,Cement And Concrete,CO2 Injection and Utilization in Cement-Making,Market Scale,21,Hardware,Removal,5,2,5,5148657,265062358,259893701,7,5,5,4
Industry,Cement And Concrete,"Cement-free Concrete, Alternative Cements and Binders",Commercial,8,Hardware,Mitigation,7,4,5,35532396,232648538,190603067,6,5,6,4
Industry,Cement And Concrete,Bio-concrete,Pilot,3,Hardware,Mitigation,,,,,,,2,2,4,2
Industry,Cement And Concrete,Production Efficiency and Waste Reduction,Early Market,13,Software,Mitigation,5,1,2,2061302,43633345,41572043,3,2,5,2
Industry,"Paper, Pulp and Wood",Alternative Fibers and Non-Fiber Materials,Pilot,3,Hardware,Mitigation,1,1,2,0,17317191,14066325,2,2,1,1
Industry,"Paper, Pulp and Wood",Timber Supply Chain Traceability and Marketplaces,Early Market,13,Software,Mitigation,2,0,0,150000,8786579,8636579,1,1,2,1
Industry,Industrial Heat and Heat Recovery,"Electrified Industrial Heat, Power and Steam",Early Market,13,Hardware,Mitigation,4,4,5,173484451,441526395,268041944,8,5,4,4
Industry,Industrial Heat and Heat Recovery,Concentrated Solar Thermal,Early Market,13,Hardware,Mitigation,1,1,2,47752512,479690982,431938470,8,2,1,3
Industry,Industrial Heat and Heat Recovery,Waste Heat Recovery and Heat to Energy,Early Market,13,Hardware,Mitigation,3,2,3,6780505,33032979,26252474,3,3,3,2
Industry,Industrial Heat and Heat Recovery,Waste Heat to Energy via Organic Rankine Cycle,Market Scale,21,Hardware,Mitigation,1,0,1,0,42438667,33679788,3,1,1,1
Industry,Industrial Heat and Heat Recovery,Industrial Drying,Market Scale,21,Hardware,Mitigation,0,1,1,6104328,16854474,10750146,2,1,1,1
Industry,Industrial Cooling,Adiabatic Cooling,Early Market,13,Hardware,Mitigation,0,1,1,1589908,17839908,16250000,2,1,1,1
Industry,Industrial Cooling,Industrial Process Cooling / Chilling,Mature Market,34,Hardware,Mitigation,0,0,1,0,20872253,20872253,2,1,1,1
Industry,Industrial Cooling,Compression Electrification,Early Market,13,Hardware,Mitigation,0,0,0,0,0,0,1,1,1,1
Industry,Green Manufacturing,Additive Manufacturing,Market Scale,21,HW/SW,Mitigation,4,3,12,238563283,3641501064,3402832781,10,7,4,5
Industry,Green Manufacturing,Circular Manufacturing and Robotic Disassembly,Early Market,13,HW/SW,Mitigation,3,1,1,2648999,33409129,30760130,3,1,3,1
Industry,Green Manufacturing,Circular and Sustainability Enterprise Resource Planning (ERP),Market Scale,21,Software,Mitigation,0,0,1,0,65900000,65900000,4,1,1,2
Industry,Mining,Direct Lithium Extraction (DLE) and Processing,Early Market,13,Hardware,Mitigation,0,2,5,50000000,998443983,948443983,9,5,1,5
Industry,Mining,Electrochemical extraction,Commercial,8,Hardware,Mitigation,2,0,2,13135973,85835974,72700001,4,2,2,2
Industry,Mining,Bio-based Extraction / Phytomining,Pilot,3,Hardware,Mitigation,2,1,1,11550000,26893534,15343534,2,1,2,1
Industry,Mining,Exploration Optimization,Early Market,13,Software,Mitigation,3,0,7,580773,559714008,559133235,9,6,3,5
Industry,Mining,Mining Precision and Operations Efficiency,Early Market,13,Software,Hybrid,5,1,3,10698948,184628202,173929254,6,3,5,3
Industry,Mining,Brine and Tailings Extraction,Commercial,8,Hardware,Hybrid,2,1,1,0,15340000,0,2,1,2,1
Industry,Mining,Extraction Efficiency and Energy Reduction,Early Market,13,HW/SW,Hybrid,2,2,6,3174041,475383681,472209640,8,5,2,4
Industry,Mining,Deep Sea Mining,Pilot,3,Hardware,Mitigation,0,0,0,0,294850000,294850000,7,1,1,3
Industry,Mining,Slag Mineral Extraction,Early Market,13,Hardware,Hybrid,0,0,1,5359539,24890722,19531183,2,1,1,1
Industry,Mining,E-Waste Mineral Extraction and Biorefining,Commercial,8,Hardware,Mitigation,1,0,1,0,37117206,37117206,3,1,1,1
Industry,Mining,Space Mining,Research,1,Hardware,Mitigation,4,0,0,0,57369000,57369000,4,1,4,2
Industry,Metals Recycling,Metals and REE Sorting and Recycling,Market Scale,21,HW/SW,Hybrid,1,0,1,3600000,40207700,36607700,3,1,1,1
Industry,Metals Recycling,Recycled Metals Marketplaces,Early Market,13,Software,Mitigation,2,0,3,0,179792943,179792943,6,3,2,3
Industry,Supply Chains,"Supply Chain Resiliance, Traceability and Analytics",Market Scale,21,Software,Mitigation,6,2,15,8827574,1622717235,1613289661,10,7,6,5
Industry,Supply Chains,Digital Product Passports and Circular Enablement,Early Market,13,HW/SW,Mitigation,4,1,2,11192114,96102938,84910824,5,2,4,2
Industry,Supply Chains,"Supply Chain Planning, Optimization and Demand Forecasting",Market Scale,21,Software,Mitigation,2,0,1,0,547540000,547540000,9,1,2,3
Industry,Supply Chains,"Routing, Utilization / Fill Rate and Intermodal Optimization ",Market Scale,21,Software,Mitigation,2,3,6,9776185,230125471,220099286,6,5,2,4
Industry,Supply Chains,Reverse Logistics and Returns Recovery,Market Scale,21,Software,Mitigation,3,0,4,40000000,394011769,354011769,8,4,3,4
Industry,Supply Chains,Cargo Containers,Early Market,13,Hardware,Mitigation,1,0,0,101190,164585629,164484439,6,1,1,2
Industry,Supply Chains,Yard Management and Automation,Market Scale,21,Software,Mitigation,1,0,3,0,209155782,209155782,6,3,1,3
Industry,Supply Chains,"Logistics Platforms, Marketplaces, Freight Matching and Dispatch",Mature Market,34,Software,Mitigation,2,1,11,574210000,4758125879,4183915879,10,7,2,5
Industry,Supply Chains,Warehouse Automation and Robotics,Market Scale,21,HW/SW,Mitigation,2,0,7,20000,1201397108,1201377108,10,6,2,5
Agriculture,Controlled Environment Agriculture (CEA),Indoor / Vertical and Greenhouse-based Farms,Mature Market,34,HW/SW,Mitigation,2,0,14,188514376,2047651988,1859137612,10,7,2,5
Agriculture,Regenerative Agriculture,Agricultural Sequestration and Carbon Programs,Early Market,13,Software,Hybrid,5,1,8,37277650,1819554930,1782277280,10,7,5,5
Agriculture,Controlled Environment Agriculture (CEA),Controlled Environment Agriculture (CEA) Systems,Market Scale,21,HW/SW,Mitigation,7,0,13,34455937,1391338866,1356882929,10,7,6,5
Agriculture,Crop Protection and Biotechnology,Biological Pest Controls and Crop Protection,Market Scale,21,Hardware,Adaptation,8,5,11,127478790,1315564758,1187860968,10,7,6,5
Agriculture,Fertilizer,"Microbial Nitrogen Fixation, Biocontrols and Biostimulants",Early Market,13,Hardware,Mitigation,6,3,6,14458808,1029010890,1014552082,9,5,6,5
Agriculture,Agriculture Services and Marketplaces,Market Access for Farmers and Sustainable Sourcing,Early Market,13,Software,Mitigation,9,0,3,9242000,1010383094,1001141094,9,3,6,4
Agriculture,Feeds,Insect-Based Animal Feeds,Early Market,13,Hardware,Mitigation,4,2,10,64391995,860178208,795786213,9,7,4,5
Agriculture,Crop Protection and Biotechnology,"Seed Genome Editing, Trait Discovery and Selection",Early Market,13,HW/SW,Adaptation,4,1,10,6887463,675491459,668603996,9,7,4,5
Agriculture,Fishing and Aquaculture,Aquaculture and Precision Aquafarming,Early Market,13,HW/SW,Hybrid,6,2,6,70315623,493660412,421539789,8,5,6,4
Agriculture,Agriculture Services and Marketplaces,"Farm Digitization, Data and Management Software",Market Scale,21,Software,Mitigation,1,0,7,54050473,492671610,438621137,8,6,1,5
Agriculture,Fishing and Aquaculture,Aquaculture Farms and Systems,Market Scale,21,Hardware,Mitigation,1,1,4,165398967,467642532,302243565,8,4,1,4
Agriculture,Precision Agriculture and Agronomics,Autonomous Tractors and Farm Machinery,Early Market,13,HW/SW,Mitigation,6,2,7,9208142,423641563,414433421,8,6,6,5
Agriculture,Precision Agriculture and Agronomics,Crop Protection Weeding Robotics and Drones,Early Market,13,HW/SW,Mitigation,2,2,8,9808720,407223825,397415105,8,7,2,5
Agriculture,Fertilizer,Renewable-powered Nitrogen Fixation,Commercial,8,Hardware,Mitigation,1,1,3,3631813,366506955,362875142,8,3,1,4
Agriculture,Precision Agriculture and Agronomics,In-Field Farmland Sensors and Monitoring,Market Scale,21,HW/SW,Mitigation,4,1,6,43589484,346602423,303012939,7,5,4,4
Agriculture,Precision Agriculture and Agronomics,Agronomics and Computational Agroecology,Market Scale,21,Software,Hybrid,8,3,10,10768363,340046721,326278358,7,7,6,5
Agriculture,Precision Agriculture and Agronomics,Precision Irrigation,Mature Market,34,HW/SW,Hybrid,4,2,5,16500000,322343102,305793102,7,5,4,4
Agriculture,Precision Agriculture and Agronomics,Remote Sensing for Precision Ag and Regen Ag Monitoring,Market Scale,21,Software,Mitigation,3,2,6,15258103,321023634,305036447,7,5,3,4
Agriculture,Agriculture Services and Marketplaces,"Food Chain Transparency, Quality and Compliance",Early Market,13,HW/SW,Mitigation,5,0,7,3812890,238490839,234677949,7,6,5,4
Agriculture,Precision Agriculture and Agronomics,Pollination Improvement and Monitoring,Early Market,13,HW/SW,Hybrid,3,2,5,10413010,230705290,220292280,6,5,3,4
Agriculture,Feeds,"Enteric Methane Suppression Feeds, Supplements and Vaccines",Early Market,13,Hardware,Hybrid,6,1,5,300000,205530795,205230795,6,5,6,4
Agriculture,Agriculture Services and Marketplaces,Agriculture Supply Chain Digitization,Early Market,13,Software,Mitigation,3,0,3,2100000,204145458,202045458,6,3,3,3
Agriculture,Regenerative Agriculture,Degraded Farmland Restoration,Early Market,13,Software,Hybrid,1,0,3,10000000,179274866,169274866,6,3,1,3
Agriculture,Cold Chain,Cold Chain Solutions,Market Scale,21,Hardware,Hybrid,2,2,5,13984583,159413444,145288943,6,5,2,4
Agriculture,Regenerative Agriculture,Grazing and Livestock Management,Commercial,8,Software,Hybrid,2,0,2,449386,152230722,151781336,6,2,2,3
Agriculture,Cold Chain,Refrigeration and Solar Cooling for Developing Markets,Early Market,13,Hardware,Hybrid,2,2,3,13555767,116645912,102190145,5,3,2,3
Agriculture,Regenerative Agriculture,Soil Carbon Measurement,Early Market,13,HW/SW,Hybrid,3,1,3,28200995,115286449,87085454,5,3,3,3
Agriculture,Agriculture Services and Marketplaces,Farming Marketplaces and Training,Early Market,13,Service,Mitigation,2,0,1,22086032,85896668,63810636,4,1,2,2
Agriculture,Regenerative Agriculture,Regenerative Agriculture Practices,Early Market,13,Software,Hybrid,1,0,3,150000,77202465,77052465,4,3,1,2
Agriculture,Fishing and Aquaculture,Seaweed Farming,Market Scale,21,Hardware,Mitigation,6,1,3,15427324,74832388,50205064,4,3,6,2
Agriculture,Fertilizer,Circular Fertilizer Inputs and Manure Management,Early Market,13,Hardware,Mitigation,1,1,1,12543149,60923744,48380595,4,1,1,2
Agriculture,Precision Agriculture and Agronomics,Local Weather Forecasting and Stations for Farmers,Market Scale,21,HW/SW,Mitigation,1,0,4,1013232,57387488,56374256,4,4,1,3
Agriculture,Feeds,Biomass and Fermentation-Based Feeds,Early Market,13,Hardware,Mitigation,1,0,2,300000,52367158,52067158,4,2,1,2
Agriculture,Agriculture Services and Marketplaces,Farming Equipment Pre-Owned Trading and Sharing,Market Scale,21,Software,Mitigation,0,1,3,1350000,37814077,36364077,3,3,1,2
Agriculture,Fertilizer,Methane to Fertilizer,Commercial,8,Hardware,Mitigation,0,0,1,0,37000000,37000000,3,1,1,1
Agriculture,Fertilizer,Waste Streams and CO2 to Fertilizer,Early Market,13,Hardware,Hybrid,0,1,2,82941,33336519,1790459,3,2,1,2
Agriculture,Fertilizer,Green Ammonia for Fertilizer Production,Commercial,8,Hardware,Mitigation,1,0,1,0,27250000,27250000,2,1,1,1
Agriculture,Crop Protection and Biotechnology,Plant Cell Culturing,Commercial,8,HW/SW,Mitigation,4,3,1,6777876,24406502,17628626,2,1,4,1
Agriculture,Controlled Environment Agriculture (CEA),CEA AI and Yield Optimization Software,Early Market,13,Software,Mitigation,3,0,1,3770000,22342074,18572074,2,1,3,1
Agriculture,Regenerative Agriculture,Agroforestry and Forest-Steward Communities,Early Market,13,Software,Hybrid,0,0,1,0,17370000,17370000,2,1,1,1
Agriculture,Fishing and Aquaculture,Fishing Verification and Traceability,Early Market,13,Software,Mitigation,1,0,0,0,5240003,5240003,1,1,1,1
Agriculture,Precision Agriculture and Agronomics,Sustainable Rice Cultivation,Commercial,8,HW/SW,Hybrid,2,1,0,0,4549568,4399568,1,1,2,1
Agriculture,Crop Protection and Biotechnology,Crop Microbiome Engineering,Commercial,8,HW/SW,Adaptation,1,1,1,0,4350000,4200000,1,1,1,1
Agriculture,Cold Chain,Dehydration and Vacuum Freeze Drying,Market Scale,21,Hardware,Hybrid,3,2,0,1511569,3836569,2325000,1,1,3,1
Agriculture,Fishing and Aquaculture,Bycatch and Overfishing Reduction,Commercial,8,HW/SW,Mitigation,2,1,0,59465,2620704,2561239,1,1,2,1
Agriculture,Fertilizer,Biomass-derived Fertilizer,Commercial,8,Hardware,Mitigation,0,2,0,0,1749460,0,1,1,1,1
Foods,Plant-based Foods,Plant-based Meats,Mature Market,34,Hardware,Mitigation,6,2,10,6094090,1053862122,1047763032,9,7,6,5
Foods,Plant-based Foods,Plant-based Dairy Products,Mature Market,34,Hardware,Mitigation,3,0,7,10000000,736489382,726489382,9,6,3,5
Foods,Plant-based Foods,Plant and Fermentation-based Eggs,Market Scale,21,Hardware,Mitigation,1,0,2,14728862,522271955,507543093,8,2,1,3
Foods,Plant-based Foods,Plant-based Seafood,Market Scale,21,Hardware,Mitigation,7,4,0,9061075,29123093,19942018,2,1,6,1
Foods,Plant-based Foods,Mycelium-based Proteins,Early Market,13,Hardware,Mitigation,1,0,4,22141730,527836135,505694405,8,4,1,4
Foods,Plant-based Foods,Rubisco proteins,Early Market,13,Hardware,Mitigation,1,0,6,5669467,122229228,116559761,5,5,1,3
Foods,Cultured Foods,Cultivated Meats,Early Market,13,Hardware,Mitigation,3,2,10,31022973,1615022864,1583999891,10,7,3,5
Foods,Cultured Foods,Cultivated Seafood,Early Market,13,Hardware,Mitigation,4,0,3,60250000,326294060,266044060,7,3,4,3
Foods,Cultured Foods,Cultured Dairy Products,Early Market,13,Hardware,Mitigation,4,0,3,410000,64885378,62375378,4,3,4,2
Foods,Cultured Foods,Growth Media and Growth Factors,Early Market,13,Hardware,Mitigation,2,3,2,5427333,32547167,27119834,3,2,2,2
Foods,Fermentation-based Foods,Precision Fermentation-based Proteins,Early Market,13,Hardware,Mitigation,1,0,2,0,265626386,265626386,7,2,1,3
Foods,Fermentation-based Foods,Precision Fermentation-based Dairy and Cheese,Market Scale,21,Hardware,Mitigation,4,0,6,6993239,351669172,344675933,8,5,4,4
Foods,Fermentation-based Foods,Biomass and Mycoprotein Fermentation,Early Market,13,Hardware,Mitigation,4,1,3,65528526,697579653,631556277,9,3,4,4
Foods,Fermentation-based Foods,Gas Fermentation and CO2 / Methane to Proteins,Early Market,13,Hardware,Hybrid,4,0,5,19085230,443618741,424533511,8,5,4,4
